0,null,null,Kinsmen Sportsplex,-105.555886,50.404342
1,null,null,King George,-105.555838,50.396266
2,null,null,Town and Country Mall,-105.530569,50.403723
3,null,null,Superstore,-105.531354,50.414662
4,null,null,Salvation Army,-105.531745,50.39125
